Sampling mode ,Sample size ,Region ,Train accuracy ,Test accuracy
Random,2000,Binga ,0.96,0.82
Random,2000,Hwange ,0.95,0.66
Random,2000,Mufunta ,0.96,0.73
Random,2000,Mulobesi ,0.98,0.94
Random,2000,Sichifulo ,0.94,0.78
Random,2000,Zambezi ,0.95,0.65
Uniform,2000,Binga ,0.93,0.75
Uniform,2000,Hwange ,0.96,0.75
Uniform,2000,Mufunta ,0.94,0.75
Uniform,2000,Mulobesi ,0.92,0.61
Uniform,2000,Sichifulo ,0.97,0.88
Uniform,2000,Zambezi ,0.96,0.71
Random,20000,Binga ,0.95,0.78
Random,20000,Hwange ,0.95,0.78
Random,20000,Mufunta ,0.96,0.81
Random,20000,Mulobesi ,0.97,0.82
Random,20000,Sichifulo ,0.96,0.85
Random,20000,Zambezi ,0.94,0.72
Uniform,20000,Binga ,0.96,0.74
Uniform,20000,Hwange ,0.96,0.8
Uniform,20000,Mufunta ,0.96,0.74
Uniform,20000,Mulobesi ,0.96,0.77
Uniform,20000,Sichifulo ,0.96,0.8
Uniform,20000,Zambezi ,0.95,0.71
Random,2000,All,0.96,0.68
Uniform,2000,All,0.95,0.7
Random,20000,All,0.95,0.74
Uniform,20000,All,0.96,0.74
